week,week_raw,incidencePer100k,geo_insee,geo_name
2021-W16,202116,19,FR,"France"
2021-W15,202115,23,FR,"France"
2021-W14,202114,26,FR,"France"
2021-W13,202113,34,FR,"France"
2021-W12,202112,39,FR,"France"
2021-W11,202111,30,FR,"France"
2021-W10,202110,26,FR,"France"
2021-W09,202109,20,FR,"France"
2021-W08,202108,25,FR,"France"
2021-W07,202107,29,FR,"France"
2021-W06,202106,30,FR,"France"
2021-W05,202105,29,FR,"France"
2021-W04,202104,35,FR,"France"
2021-W03,202103,30,FR,"France"
2021-W02,202102,25,FR,"France"
2021-W01,202101,29,FR,"France"
2020-W53,202053,22,FR,"France"
2020-W52,202052,17,FR,"France"
2020-W51,202051,18,FR,"France"
2020-W50,202050,19,FR,"France"
2020-W49,202049,17,FR,"France"
2020-W48,202048,21,FR,"France"
2020-W47,202047,23,FR,"France"
2020-W46,202046,34,FR,"France"
2020-W45,202045,56,FR,"France"
2020-W44,202044,59,FR,"France"
2020-W43,202043,56,FR,"France"
2020-W42,202042,46,FR,"France"
2020-W41,202041,37,FR,"France"
2020-W40,202040,28,FR,"France"
2020-W39,202039,28,FR,"France"
2020-W38,202038,35,FR,"France"
2020-W37,202037,21,FR,"France"
2020-W36,202036,8,FR,"France"
2020-W35,202035,6,FR,"France"
2020-W34,202034,5,FR,"France"
2020-W33,202033,3,FR,"France"
2020-W32,202032,3,FR,"France"
2020-W31,202031,5,FR,"France"
2020-W30,202030,7,FR,"France"
2020-W29,202029,9,FR,"France"
2020-W28,202028,7,FR,"France"
2020-W27,202027,3,FR,"France"
2020-W26,202026,2,FR,"France"
2020-W25,202025,2,FR,"France"
2020-W24,202024,2,FR,"France"
2020-W23,202023,2,FR,"France"
2020-W22,202022,3,FR,"France"
2020-W21,202021,5,FR,"France"
2020-W20,202020,12,FR,"France"
2020-W19,202019,13,FR,"France"
2020-W18,202018,19,FR,"France"
2020-W17,202017,24,FR,"France"
2020-W16,202016,32,FR,"France"
2020-W15,202015,53,FR,"France"
2020-W14,202014,113,FR,"France"
2020-W13,202013,167,FR,"France"
2020-W12,202012,160,FR,"France"
2020-W11,202011,172,FR,"France"
2020-W10,202010,160,FR,"France"
2020-W09,202009,168,FR,"France"
2020-W08,202008,218,FR,"France"
2020-W07,202007,279,FR,"France"
2020-W06,202006,314,FR,"France"
2020-W05,202005,285,FR,"France"
2020-W04,202004,186,FR,"France"
2020-W03,202003,119,FR,"France"
2020-W02,202002,81,FR,"France"
2020-W01,202001,56,FR,"France"
2019-W52,201952,43,FR,"France"
2019-W51,201951,45,FR,"France"
2019-W50,201950,52,FR,"France"
2019-W49,201949,39,FR,"France"
